/home/inventree/env/lib/python3.10/site-packages/allauth/exceptions.py:9: UserWarning: allauth.exceptions is deprecated, use allauth.core.exceptions
  warnings.warn("allauth.exceptions is deprecated, use allauth.core.exceptions")
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[14/Aug/2024 04:49:04] "GET /static/fullcalendar/main.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:04] "GET /static/fontawesome/js/brands.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:04] "GET /static/fullcalendar/locales-all.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/select2/js/select2.full.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/chartjs-adapter-moment.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/chart.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/moment.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/clipboard.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/easymde/easymde.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/randomColor.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/qrcode.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/html5-qrcode.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/inventree/message.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /static/script/inventree/inventree.js HTTP/1.1" 304 0
[14/Aug/2024 04:49:05] "GET /js/dynamic/calendar.js HTTP/1.1" 200 1341
[14/Aug/2024 04:49:05] "GET /js/dynamic/nav.js HTTP/1.1" 200 8934
[14/Aug/2024 04:49:05] "GET /js/dynamic/permissions.js HTTP/1.1" 200 1202
[14/Aug/2024 04:49:05] "GET /js/i18n/api.js HTTP/1.1" 200 7474
[14/Aug/2024 04:49:05] "GET /js/i18n/attachment.js HTTP/1.1" 200 10543
[14/Aug/2024 04:49:05] "GET /js/dynamic/settings.js HTTP/1.1" 200 11287
[14/Aug/2024 04:49:05] "GET /js/i18n/barcode.js HTTP/1.1" 200 25285
[14/Aug/2024 04:49:05] "GET /js/i18n/bom.js HTTP/1.1" 200 48299
[14/Aug/2024 04:49:05] "GET /js/i18n/build.js HTTP/1.1" 200 85131
[14/Aug/2024 04:49:05] "GET /js/i18n/charts.js HTTP/1.1" 200 1362
[14/Aug/2024 04:49:05] "GET /js/i18n/filters.js HTTP/1.1" 200 19076
[14/Aug/2024 04:49:05] "GET /js/i18n/forms.js HTTP/1.1" 200 88268
[14/Aug/2024 04:49:05] "GET /js/i18n/company.js HTTP/1.1" 200 49860
[14/Aug/2024 04:49:05] "GET /js/i18n/index.js HTTP/1.1" 200 3517
[14/Aug/2024 04:49:06] "GET /js/i18n/helpers.js HTTP/1.1" 200 13979
[14/Aug/2024 04:49:06] "GET /js/i18n/label.js HTTP/1.1" 200 6122
[14/Aug/2024 04:49:06] "GET /js/i18n/modals.js HTTP/1.1" 200 35708
[14/Aug/2024 04:49:06] "GET /js/i18n/model_renderers.js HTTP/1.1" 200 13696
[14/Aug/2024 04:49:06] "GET /js/i18n/order.js HTTP/1.1" 200 10032
[14/Aug/2024 04:49:06] "GET /js/i18n/part.js HTTP/1.1" 200 98572
[14/Aug/2024 04:49:06] "GET /js/i18n/return_order.js HTTP/1.1" 200 22378
[14/Aug/2024 04:49:06] "GET /js/i18n/search.js HTTP/1.1" 200 10903
[14/Aug/2024 04:49:06] "GET /js/i18n/purchase_order.js HTTP/1.1" 200 69557
[14/Aug/2024 04:49:06] "GET /js/i18n/report.js HTTP/1.1" 200 3743
[14/Aug/2024 04:49:06] "GET /js/i18n/sales_order.js HTTP/1.1" 200 68224
[14/Aug/2024 04:49:06] "GET /js/i18n/status_codes.js HTTP/1.1" 200 10398
[14/Aug/2024 04:49:06] "GET /js/i18n/stock.js HTTP/1.1" 200 96767
[14/Aug/2024 04:49:06] "GET /js/i18n/plugin.js HTTP/1.1" 200 8125
[14/Aug/2024 04:49:06] "GET /js/i18n/pricing.js HTTP/1.1" 200 31616
[14/Aug/2024 04:49:06] "GET /js/i18n/news.js HTTP/1.1" 200 2115
[14/Aug/2024 04:49:06] "GET /js/i18n/tables.js HTTP/1.1" 200 17163
[14/Aug/2024 04:49:06] "GET /js/i18n/table_filters.js HTTP/1.1" 200 22482
[14/Aug/2024 04:49:06] "GET /js/i18n/notification.js HTTP/1.1" 200 9030
[14/Aug/2024 04:49:06] "GET /api/user/roles/ HTTP/1.1" 200 527
[14/Aug/2024 04:49:07] "GET /api/currency/exchange/ HTTP/1.1" 200 58
[14/Aug/2024 04:49:07] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:49:07] "GET /api/part/category/tree/ HTTP/1.1" 200 21555
[14/Aug/2024 04:49:07] "GET /api/stock/?search=&offset=0&limit=25&cascade=1&in_stock=1&part=10336&location_detail=true&part_detail=true&supplier_part_detail=true HTTP/1.1" 200 1252
[14/Aug/2024 04:49:07] "GET /static/img/blank_image.thumbnail.png HTTP/1.1" 304 0
[14/Aug/2024 04:49:08] "GET /api/label/part/?enabled=true&part%5B%5D=10336 HTTP/1.1" 200 382
[14/Aug/2024 04:49:08] "GET /api/plugins/?mixin=labels HTTP/1.1" 200 2029
[14/Aug/2024 04:49:08] "OPTIONS /api/label/part/1/print/?plugin=inventreelabel&part%5B%5D=10336 HTTP/1.1" 200 271
[14/Aug/2024 04:49:10] "GET /static/img/Vicharak_logo.png HTTP/1.1" 200 24805
[14/Aug/2024 04:49:10] "GET /static/img/Vicharak_logo.png HTTP/1.1" 200 24805
[14/Aug/2024 04:49:11] "POST /api/label/part/1/print/?plugin=inventreelabel&part%5B%5D=10336 HTTP/1.1" 200 100
[14/Aug/2024 04:49:11] "GET /media/label/output/labels_bcYgThX.pdf HTTP/1.1" 200 41764
[14/Aug/2024 04:50:58] "GET /api/notifications/?read=false HTTP/1.1" 200 2
Python version 3.10.12 - /home/inventree/env/bin/python
/home/inventree/env/lib/python3.10/site-packages/allauth/exceptions.py:9: UserWarning: allauth.exceptions is deprecated, use allauth.core.exceptions
  warnings.warn("allauth.exceptions is deprecated, use allauth.core.exceptions")
Watching for file changes with StatReloader
Watching for file changes with StatReloader
